province,city_or_municipality,position,name,nikname,votes_obtained
Ilocos Sur,Gregorio del Pilar Concep,Councilor,"Bitongan, Jesus Pislaan",Severo,1090
Sulu,Hadji Panglima Tahil Mar,Councilor,"Hadjulani, Cecilia Buenaventura",Cely,1093
Sulu,Hadji Panglima Tahil Mar,Councilor,"Sanadi, Hajirun Jiloh",Jiloh,1093
Abra,Langgiden,Vice-Mayor,"Guzman, Manuel Tagorda",Noel,1093
Isabela,Divilacan,Councilor,"Juanatas, Clarita Agullana",Caling,1093
Samar (Western Samar),San Jose De Buan,Councilor,"Gaviola, Pedro Mabansag",-,1097
Misamis Ocidental,Clarin,Councilor,"Omandam, Ruben Malandiay",Ben,1097
Ilocos Sur,Sigay,Mayor,"Gaerlan, Erlinda Damullan",Linda,1098
Lanao del Sur,Binidayan,Councilor,"Pangandamun, Jamal Mangotara",Pacols,1099
Abra,Lagayan,Councilor,"Andoy, Jhony Bobila",Onie,1100
Mountain Province,Barlig,Councilor,"Ngaya, Clark Chatongna",Elak,1100
Abra,San Isidro,Councilor,"Bagay, Dionibi Malinnag",Amor,1101
Romblon,Ferrol,Councilor,"Sarmiento, Lita Gabilo",Lily,1103
Romblon,Ferrol,Councilor,"Selosa, Cecilia Fabila",Celia,1103
Sulu,Hadji Panglima Tahil Mar,Councilor,"Masarik, Abdul Concon",Abs,1106
Quezon,Jomalig,Councilor,"Tapado, Yolando Roxas",Lando,1106
Ifugao,Hungduan,Councilor,"Pocopio, Peter Banol",Nebleha,1114
Abra,San Isidro,Councilor,"Valera, Virginia Manglibo",Bobot,1119
Cagayan,Santa Praxedes,Councilor,"Guirpo, Charito Ancheta",Ato,1121
Ilocos Sur,Nagbukel,Mayor,"Cabrera, Timoteo Manzano",Timot,1127
Ifugao,Hungduan,Councilor,"Nakake, Joseph Dong-E",Bantiyan,1128
Isabela,Divilacan,Councilor,"Tabbada, Cesar Pacis",Cesar,1129
Ilocos Sur,Gregorio del Pilar Concep,Councilor,"Ciriaco, Jacob Balaleng",Jack,1130
Batanes,Basco,Councilor,"Merina, Adriano Espinosa",Dianong,1130
Sulu,Hadji Panglima Tahil Mar,Councilor,"Hadjirul, Saura Mohammad",Saung,1131
Quezon,Patnanungan,Councilor,"Hernandez, Josefina Escio",Josie,1132
Lanao del Sur,Kapai,Councilor,"Mangurun, Amerodin Imam",Mero,1136
Abra,San Isidro,Councilor,"Callos, Arnulfo Agudal",Ompong,1137
Quezon,Jomalig,Councilor,"Li, Lilibeth Mampusti",Libeth,1137
Lanao del Sur,Sultan Dumalondong,Mayor,"Kurangking, Lumna Abdul Bical Manalocon",Lumpa,1143
Nueva Vizcaya,Ambaguio,Councilor,"Banyaga, Pedro Dingcog",Alacdi,1145
Cagayan,Santa Praxedes,Vice-Mayor,"Cudal, Hilario Jr. Verzon",Larry,1149
Abra,Lagayan,Councilor,"Alejandro, Dayawen Santos",Epoy,1155
Nueva Vizcaya,Alfonso Castaneda,Councilor,"Aliwak, Watang Jr. Caanawan",Jun,1155
Sulu,Lugus,Councilor,"Warad, Siddih Sigadding",Siddih,1157
Abra,Licuan-Baay Licuan,Mayor,"Bayle, Andres Doque",Wanasen,1159
Abra,Boliney,Councilor,"Timmangen, Hailey Magallis",Hailey,1160
Ilocos Sur,Gregorio del Pilar Concep,Councilor,"Onie, Rolando Paetan",Loreto,1160
